French Name,scientific_name,ABBR,class
Colibri de Costa,Calypte costae,COHU,1.0
Colibri calliope,Selasphorus calliope,CAHU,1.0
Colibri roux,Selasphorus rufus,RUHU,1.0
Colibri d'Allen,Selasphorus sasin,ALHU,1.0
Colibri à queue large,Selasphorus platycercus,BTHU,1.0
Colibri circé,Cynanthus latirostris,BBIH,2.0
Ariane du Yucatan,Amazilia yucatanensis,BBEH,2.0
Râle de Californie,Rallus obsoletus,RIRA,2.0
Râle tapageur,Rallus crepitans,CLRA,1.0
Râle élégant,Rallus elegans,KIRA,1.0
Râle de Virginie,Rallus limicola,VIRA,1.0
Marouette de Caroline,Porzana carolina,SORA,1.0
Gallinule d'Amérique,Gallinula galeata,COGA,1.0
Foulque d'Amérique,Fulica americana,AMCO,1.0
Râle jaune,Coturnicops noveboracensis,YERA,2.0
Râle noir,Laterallus jamaicensis,BLRA,2.0
Courlan brun,Aramus guarauna,LIMP,2.0
Grue du Canada,Antigone canadensis,SACR,1.0
Grue blanche,Grus americana,WHCR,2.0
Échasse d'Amérique,Himantopus mexicanus,BNST,1.0
Avocette d'Amérique,Recurvirostra americana,AMAV,1.0
Huîtrier d'Amérique,Haematopus palliatus,AMOY,1.0
Huîtrier de Bachman,Haematopus bachmani,BLOY,1.0
Pluvier argenté,Pluvialis squatarola,BBPL,1.0
Pluvier bronzé,Pluvialis dominica,AMGP,1.0
Pluvier fauve,Pluvialis fulva,PAGP,2.0
Pluvier kildir,Charadrius vociferus,KILL,1.0
Pluvier semipalmé,Charadrius semipalmatus,SEPL,1.0
Pluvier siffleur,Charadrius melodus,PIPL,2.0
Pluvier de Wilson,Charadrius wilsonia,WIPL,1.0
Pluvier montagnard,Charadrius montanus,MOPL,2.0
Pluvier neigeux,Charadrius nivosus,SNPL,1.0
Maubèche des champs,Bartramia longicauda,UPSA,1.0
Courlis d'Alaska,Numenius tahitiensis,BTCU,2.0
Courlis corlieu,Numenius phaeopus,WHIM,1.0
Courlis à long bec,Numenius americanus,LBCU,1.0
Barge rousse,Limosa lapponica,BTGO,2.0
Barge hudsonienne,Limosa haemastica,HUGO,1.0
Barge marbrée,Limosa fedoa,MAGO,1.0
Tournepierre à collier,Arenaria interpres,RUTU,1.0
Tournepierre noir,Arenaria melanocephala,BLTU,1.0
Bécasseau maubèche,Calidris canutus,REKN,1.0
Bécasseau du ressac,Calidris virgata,SURF,1.0
Bécasseau à échasses,Calidris himantopus,STSA,1.0
Bécasseau sanderling,Calidris alba,SAND,1.0
Bécasseau variable,Calidris alpina,DUNL,1.0
Bécasseau des Aléoutiennes,Calidris ptilocnemis,ROSA,2.0
Bécasseau violet,Calidris maritima,PUSA,1.0
Bécasseau de Baird,Calidris bairdii,BASA,1.0
Bécasseau minuscule,Calidris minutilla,LESA,1.0
Bécasseau à croupion blanc,Calidris fuscicollis,WRSA,1.0
