French Name,scientific_name,ABBR,class
Traquet motteux,Oenanthe oenanthe,NOWH,2.0
Merlebleu de l'Est,Sialia sialis,EABL,1.0
Merlebleu de l'Ouest,Sialia mexicana,WEBL,1.0
Merlebleu azuré,Sialia currucoides,MOBL,1.0
Solitaire de Townsend,Myadestes townsendi,TOSO,1.0
Grive fauve,Catharus fuscescens,VEER,1.0
Grive à joues grises,Catharus minimus,GCTH,1.0
Grive de Bicknell,Catharus bicknelli,BITH,2.0
Grive à dos olive,Catharus ustulatus,SWTH,1.0
Grive solitaire,Catharus guttatus,HETH,1.0
Grive des bois,Hylocichla mustelina,WOTH,1.0
Merle fauve,Turdus grayi,CCTH,2.0
Merle d'Amérique,Turdus migratorius,AMRO,1.0
Grive à collier,Ixoreus naevius,VATH,1.0
Moqueur chat,Dumetella carolinensis,GRCA,1.0
Moqueur à bec courbe,Toxostoma curvirostre,CBTH,1.0
Moqueur roux,Toxostoma rufum,BRTH,1.0
Moqueur à long bec,Toxostoma longirostre,LBTH,2.0
Moqueur de Bendire,Toxostoma bendirei,BETH,2.0
Moqueur de Californie,Toxostoma redivivum,CATH,2.0
Moqueur de LeConte,Toxostoma lecontei,LCTH,2.0
Moqueur cul-roux,Toxostoma crissale,CRTH,2.0
Moqueur des armoises,Oreoscoptes montanus,SATH,1.0
Moqueur polyglotte,Mimus polyglottos,NOMO,1.0
Étourneau sansonnet,Sturnus vulgaris,EUST,1.0
Martin triste,Acridotheres tristis,COMY,2.0
Jaseur boréal,Bombycilla garrulus,BOWA,2.0
Jaseur d'Amérique,Bombycilla cedrorum,CEDW,1.0
Phénopèple luisant,Phainopepla nitens,PHAI,1.0
Fauvine des pins,Peucedramus taeniatus,OLWA,2.0
Astrild ondulé,Estrilda astrild,COMW,2.0
Bengali rouge,Amandava amandava,REAV,2.0
Padda de Java,Lonchura oryzivora,JASP,2.0
Capucin damier,Lonchura punctulata,SBMU,2.0
Capucin à tête noire,Lonchura atricapilla,CHMU,2.0
Moineau domestique,Passer domesticus,HOSP,1.0
Moineau friquet,Passer montanus,ETSP,2.0
Bergeronnette de Béringie,Motacilla tschutschensis,EYWA,2.0
Pipit d'Amérique,Anthus rubescens,AMPI,1.0
Pipit de Sprague,Anthus spragueii,SPPI,2.0
Gros-bec errant,Coccothraustes vespertinus,EVGR,1.0
Durbec des sapins,Pinicola enucleator,PIGR,1.0
Roselin à tête grise,Leucosticte tephrocotis,GCRF,1.0
Roselin noir,Leucosticte atrata,BLRF,2.0
Roselin à tête brune,Leucosticte australis,BCRF,2.0
Roselin familier,Haemorhous mexicanus,HOFI,1.0
Roselin pourpré,Haemorhous purpureus,PUFI,1.0
Roselin de Cassin,Haemorhous cassinii,CAFI,1.0
Serin du Mozambique,Crithagra mozambica,YFCA,2.0
Sizerin flammé,Acanthis flammea,CORE,1.0
Sizerin blanchâtre,Acanthis hornemanni,HORE,2.0
Bec-croisé des sapins,Loxia curvirostra,RECR,1.0
Bec-croisé de l'Idaho,Loxia sinesciuris,CACR,2.0
Bec-croisé bifascié,Loxia leucoptera,WWCR,2.0
Tarin des pins,Spinus pinus,PISI,1.0
Chardonneret mineur,Spinus psaltria,LEGO,1.0
Chardonneret gris,Spinus lawrencei,LAGO,2.0
Chardonneret jaune,Spinus tristis,AMGO,1.0
Plectrophane lapon,Calcarius lapponicus,LALO,1.0
Plectrophane à ventre noir,Calcarius ornatus,CCLO,1.0
Plectrophane de Smith,Calcarius pictus,SMLO,2.0
Plectrophane à bec fort,Rhynchophanes mccownii,MCLO,2.0
Plectrophane des neiges,Plectrophenax nivalis,SNBU,1.0
Bruant à épaulettes,Peucaea carpalis,RWSP,2.0
Bruant de Botteri,Peucaea botterii,BOSP,2.0
Bruant de Cassin,Peucaea cassinii,CASP,1.0
Bruant des pinèdes,Peucaea aestivalis,BACS,1.0
Bruant sauterelle,Ammodramus savannarum,GRSP,1.0
Tohi olive,Arremonops rufivirgatus,OLSP,2.0
Bruant à gorge noire,Amphispiza bilineata,BTSP,1.0
Bruant à joues marron,Chondestes grammacus,LASP,1.0
Bruant noir et blanc,Calamospiza melanocorys,LARB,1.0
Bruant familier,Spizella passerina,CHSP,1.0
Bruant des plaines,Spizella pallida,CCSP,1.0
Bruant à menton noir,Spizella atrogularis,BCSP,1.0
Bruant des champs,Spizella pusilla,FISP,1.0
Bruant de Brewer,Spizella breweri,BRSP,1.0
Bruant fauve,Passerella iliaca,FOSP,1.0
Bruant hudsonien,Spizelloides arborea,ATSP,1.0
Junco ardoisé,Junco hyemalis,DEJU,1.0
Junco aux yeux jaunes,Junco phaeonotus,YEJU,2.0
Bruant à couronne blanche,Zonotrichia leucophrys,WCSP,1.0
Bruant à couronne dorée,Zonotrichia atricapilla,GCSP,1.0
Bruant à face noire,Zonotrichia querula,HASP,1.0
Bruant à gorge blanche,Zonotrichia albicollis,WTSP,1.0
Bruant des armoises,Artemisiospiza nevadensis,SABS,1.0
Bruant de Bell,Artemisiospiza belli,BESP,1.0
Bruant vespéral,Pooecetes gramineus,VESP,1.0
Bruant de LeConte,Ammospiza leconteii,LCSP,1.0
Bruant maritime,Ammospiza maritima,SESP,1.0
Bruant de Nelson,Ammospiza nelsoni,NESP,1.0
Bruant à queue aiguë,Ammospiza caudacuta,SALS,1.0
Bruant de Baird,Centronyx bairdii,BAIS,2.0
Bruant de Henslow,Centronyx henslowii,HESP,2.0
Bruant des prés,Passerculus sandwichensis,SAVS,1.0
Bruant chanteur,Melospiza melodia,SOSP,1.0
Bruant de Lincoln,Melospiza lincolnii,LISP,1.0
Bruant des marais,Melospiza georgiana,SWSP,1.0
Tohi des canyons,Melozone fusca,CANT,1.0
Tohi d'Abert,Melozone aberti,ABTO,1.0
Tohi de Californie,Melozone crissalis,CALT,1.0
Tohi à calotte fauve,Aimophila ruficeps,RCSP,1.0
Tohi à queue verte,Pipilo chlorurus,GTTO,1.0
Tohi tacheté,Pipilo maculatus,SPTO,1.0
Tohi à flancs roux,Pipilo erythrophthalmus,EATO,1.0
Ictérie polyglotte,Icteria virens,YBCH,1.0
Carouge à tête jaune,Xanthocephalus xanthocephalus,YHBL,1.0
Goglu des prés,Dolichonyx oryzivorus,BOBO,1.0
Sturnelle des prés,Sturnella magna,EAME,1.0
Sturnelle de l'Ouest,Sturnella neglecta,WEME,1.0
Oriole des vergers,Icterus spurius,OROR,1.0
Oriole masqué,Icterus cucullatus,HOOR,1.0
Oriole de Bullock,Icterus bullockii,BUOR,1.0
Oriole maculé,Icterus pectoralis,SBOR,2.0
Oriole à gros bec,Icterus gularis,ALOR,2.0
Oriole d'Audubon,Icterus graduacauda,AUOR,2.0
Oriole de Baltimore,Icterus galbula,BAOR,1.0
Oriole jaune-verdâtre,Icterus parisorum,SCOR,1.0
Carouge à épaulettes,Agelaius phoeniceus,RWBL,1.0
Carouge de Californie,Agelaius tricolor,TRBL,2.0
Vacher bronzé,Molothrus aeneus,BROC,1.0
Vacher à tête brune,Molothrus ater,BHCO,1.0
Quiscale rouilleux,Euphagus carolinus,RUBL,1.0
Quiscale de Brewer,Euphagus cyanocephalus,BRBL,1.0
Quiscale bronzé,Quiscalus quiscula,COGR,1.0
Quiscale des marais,Quiscalus major,BTGR,1.0
Quiscale à longue queue,Quiscalus mexicanus,GTGR,1.0
Paruline couronnée,Seiurus aurocapilla,OVEN,1.0
Paruline vermivore,Helmitheros vermivorum,WEWA,1.0
Paruline hochequeue,Parkesia motacilla,LOWA,1.0
Paruline des ruisseaux,Parkesia noveboracensis,NOWA,1.0
Paruline à ailes dorées,Vermivora chrysoptera,GWWA,2.0
Paruline à ailes bleues,Vermivora cyanoptera,BWWA,1.0
Paruline noir et blanc,Mniotilta varia,BAWW,1.0
Paruline orangée,Protonotaria citrea,PROW,1.0
Paruline de Swainson,Limnothlypis swainsonii,SWWA,2.0
Paruline obscure,Leiothlypis peregrina,TEWA,1.0
Paruline verdâtre,Leiothlypis celata,OCWA,1.0
Paruline de Colima,Leiothlypis crissalis,COLW,2.0
Paruline de Lucy,Leiothlypis luciae,LUWA,1.0
Paruline à joues grises,Leiothlypis ruficapilla,NAWA,1.0
Paruline de Virginia,Leiothlypis virginiae,VIWA,1.0
Paruline à gorge grise,Oporornis agilis,CONW,2.0
Paruline des buissons,Geothlypis tolmiei,MGWA,1.0
Paruline triste,Geothlypis philadelphia,MOWA,1.0
Paruline du Kentucky,Geothlypis formosa,KEWA,1.0
Paruline masquée,Geothlypis trichas,COYE,1.0
Paruline à capuchon,Setophaga citrina,HOWA,1.0
Paruline flamboyante,Setophaga ruticilla,AMRE,1.0
Paruline de Kirtland,Setophaga kirtlandii,KIWA,2.0
Paruline tigrée,Setophaga tigrina,CMWA,1.0
Paruline azurée,Setophaga cerulea,CERW,2.0
Paruline à collier,Setophaga americana,NOPA,1.0
Paruline à tête cendrée,Setophaga magnolia,MAWA,1.0
Paruline à poitrine baie,Setophaga castanea,BBWA,1.0
Paruline à gorge orangée,Setophaga fusca,BLBW,1.0
Paruline jaune,Setophaga petechia,YEWA,1.0
Paruline à flancs marron,Setophaga pensylvanica,CSWA,1.0
Paruline rayée,Setophaga striata,BLPW,1.0
Paruline bleue,Setophaga caerulescens,BTBW,1.0
Paruline à couronne rousse,Setophaga palmarum,PAWA,1.0
Paruline des pins,Setophaga pinus,PIWA,1.0
Paruline à croupion jaune,Setophaga coronata,YRWA,1.0
Paruline à gorge jaune,Setophaga dominica,YTWA,1.0
Paruline des prés,Setophaga discolor,PRAW,1.0
Paruline de Grace,Setophaga graciae,GRWA,1.0
Paruline grise,Setophaga nigrescens,BTYW,1.0
Paruline de Townsend,Setophaga townsendi,TOWA,1.0
Paruline à tête jaune,Setophaga occidentalis,HEWA,1.0
Paruline à dos noir,Setophaga chrysoparia,GCWA,2.0
Paruline à gorge noire,Setophaga virens,BTNW,1.0
Paruline du Canada,Cardellina canadensis,CAWA,1.0
Paruline à calotte noire,Cardellina pusilla,WIWA,1.0
Paruline à face rouge,Cardellina rubrifrons,RFWA,2.0
Paruline à ailes blanches,Myioborus pictus,PARE,2.0
Piranga orangé,Piranga flava,HETA,2.0
Piranga vermillon,Piranga rubra,SUTA,1.0
Piranga écarlate,Piranga olivacea,SCTA,1.0
Piranga à tête rouge,Piranga ludoviciana,WETA,1.0
Cardinal rouge,Cardinalis cardinalis,NOCA,1.0
Cardinal pyrrhuloxia,Cardinalis sinuatus,PYRR,1.0
Cardinal à poitrine rose,Pheucticus ludovicianus,RBGR,1.0
Cardinal à tête noire,Pheucticus melanocephalus,BHGR,1.0
Guiraca bleu,Passerina caerulea,BLGR,1.0
Passerin azuré,Passerina amoena,LAZB,1.0
Passerin indigo,Passerina cyanea,INBU,1.0
Passerin varié,Passerina versicolor,VABU,2.0
Passerin nonpareil,Passerina ciris,PABU,1.0
Dickcissel d'Amérique,Spiza americana,DICK,1.0
Paroare huppé,Paroaria coronata,RCCA,2.0
Paroare à bec jaune,Paroaria capitata,YBCA,2.0
Sicale bouton-d'or,Sicalis flaveola,SAFI,2.0
Ariane √† couronne violette,Leucolia violiceps,VCHU,2.0
Tal√®ve violac√©e,Porphyrio martinicus,PUGA,1.0
Tal√®ve sultane,Porphyrio porphyrio,PUSW,2.0
Oc√©anite √† queue fourchue,Hydrobates furcatus,FTSP,2.0
Oc√©anite cul-blanc,Hydrobates leucorhous,LESP,1.0
Oc√©anite cendr√©,Hydrobates homochroa,ASSP,2.0
Oc√©anite de Castro,Hydrobates castro,BSTP,2.0
Oc√©anite noir,Hydrobates melania,BLSP,2.0
